Symbol,Type,EntryTimeUTC,EntryPrice,LotSize,SL,TP,ExitTimeUTC,ExitPrice,Status,Commission,PnL_Currency,BalanceAfterTrade
EURUSD,BUY,2025-04-02 12:55:00+00:00,1.0805,0.01,1.07986,1.08306,2025-04-02 14:35:00+00:00,1.08306,TP_HIT,0.07,2.4899999999998954,2627.9828403822507
GBPUSD,BUY,2025-04-02 14:40:00+00:00,1.29476,0.01,1.29405,1.2976,2025-04-02 15:45:00+00:00,1.2976,TP_HIT,0.09,2.750000000000176,2630.7328403822507
EURUSD,BUY,2025-04-02 15:55:00+00:00,1.08155,0.01,1.08083,1.08443,2025-04-02 16:00:00+00:00,1.08443,TP_HIT,0.07,2.8099999999999934,2633.5428403822507
AUDJPY,SELL,2025-04-03 02:05:00+00:00,92.653,0.01,92.87,91.785,2025-04-03 04:50:00+00:00,92.452,SL_HIT,0.09,1.2857135230586536,2634.8285539053095
BTCJPY,SELL,2025-04-03 06:00:00+00:00,12243413.0,0.01,12279923.0,12097373.0,2025-04-03 07:25:00+00:00,12263612.0,SL_HIT,0.21,-1.5924894254856061,2633.236064479824
USDCHF,SELL,2025-04-03 07:45:00+00:00,0.86876,0.01,0.86987,0.86432,2025-04-03 09:10:00+00:00,0.86432,TP_HIT,0.1,5.327209387605427,2638.5632738674294
GBPUSD,BUY,2025-04-03 09:15:00+00:00,1.31143,0.01,1.31013,1.31663,2025-04-03 09:20:00+00:00,1.31663,TP_HIT,0.09,5.1099999999998715,2643.673273867429
USDCHF,SELL,2025-04-03 09:45:00+00:00,0.86926,0.01,0.87039,0.86474,2025-04-03 09:50:00+00:00,0.86474,TP_HIT,0.1,5.424996944138955,2649.098270811568
GBPUSD,BUY,2025-04-03 09:55:00+00:00,1.31173,0.01,1.31037,1.31717,2025-04-03 10:00:00+00:00,1.31717,TP_HIT,0.09,5.349999999999889,2654.448270811568
ETHUSD,SELL,2025-04-03 10:20:00+00:00,1806.59,0.1,1814.84,1773.59,2025-04-03 11:10:00+00:00,1799.24,SL_HIT,0.3,0.434999999999991,2654.883270811568
GBPJPY,SELL,2025-04-03 11:30:00+00:00,192.751,0.01,193.033,191.623,2025-04-03 12:50:00+00:00,192.268,SL_HIT,0.15,3.1558190628721894,2658.03908987444
BTCUSD,SELL,2025-04-03 12:55:00+00:00,83005.31,0.01,83243.69,82051.79,2025-04-03 13:00:00+00:00,82051.79,TP_HIT,0.16,9.37520000000004,2667.41428987444
